,RAW DATA,,,,,
228,International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.80,Mixed,"41,000.00"
229,Economics of Money and Banking,Columbia University,COURSE,4.90,Mixed,"83,000.00"
230,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.70,Intermediate,"150,000.00"
231,Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.70,Beginner,"43,000.00"
232,Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",COURSE,4.70,Beginner,"32,000.00"
233,Business Technology Management,Indian School of Business,SPECIALIZATION,4.50,Beginner,"67,000.00"
234,"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.90,Beginner,"62,000.00"
235,Introduction to Philosophy,The University of Edinburgh,COURSE,4.60,Mixed,"370,000.00"
236,Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.50,Intermediate,"52,000.00"
237,Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.60,Beginner,"37,000.00"
238,Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.60,Beginner,"26,000.00"
239,Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.40,Beginner,"9,000.00"
240,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.80,Beginner,"50,000.00"
241,Marketing Digital,Universidade de São Paulo,COURSE,4.80,Beginner,"81,000.00"
242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.80,Intermediate,"14,000.00"
243,The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.60,Mixed,"420,000.00"
244,Health Informatics,Johns Hopkins University,SPECIALIZATION,4.50,Beginner,"8,100.00"
245,U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.80,Intermediate,"12,000.00"
246,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.80,Mixed,"86,000.00"
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.50,Intermediate,"78,000.00"
248,Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.60,Beginner,"17,000.00"
249,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.90,Beginner,"130,000.00"
250,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.80,Mixed,"67,000.00"
251,Blockchain,University at Buffalo,SPECIALIZATION,4.60,Intermediate,"68,000.00"
252,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.80,Beginner,"100,000.00"
253,Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.80,Beginner,"25,000.00"
254,Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.30,Beginner,"32,000.00"
255,Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.70,Intermediate,"250,000.00"
256,"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.80,Beginner,"11,000.00"
257,Finance for Non-Finance Professionals,Rice University,COURSE,4.80,Beginner,"69,000.00"
258,Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.30,Beginner,"13,000.00"
